Date : 2022-12-09 23:27:19
Directory : c:\Users\gasan\.vscode\flutter projects\database_trial
Total : 158 files,  9136 codes, 1845 comments, 1018 blanks, all 11999 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
| ios\Runner                                                                                                                               |          7 |        222 |          2 |          9 |        233 |
| ios\Runner\Assets.xcassets                                                                                                               |          3 |        148 |          0 |          4 |        152 |
| ios\Runner\Assets.xcassets\AppIcon.appiconset                                                                                            |          1 |        122 |          0 |          1 |        123 |
| ios\Runner\Assets.xcassets\LaunchImage.imageset                                                                                          |          2 |         26 |          0 |          3 |         29 |
| ios\Runner\Base.lproj                                                                                                                    |          2 |         61 |          2 |          2 |         65 |
| lib                                                                                                                                      |         88 |      7,508 |      1,579 |        726 |      9,813 |
| lib\data                                                                                                                                 |          3 |        530 |        160 |         64 |        754 |
| lib\data\evler_data                                                                                                                      |          1 |        169 |         34 |         28 |        231 |
| lib\data\filter_data                                                                                                                     |          1 |          0 |         78 |         13 |         91 |
| lib\data\qovluqlar_data                                                                                                                  |          1 |        361 |         48 |         23 |        432 |
| lib\domain                                                                                                                               |         26 |        916 |        144 |        172 |      1,232 |
| lib\domain\api_clients                                                                                                                   |          4 |        457 |        100 |         53 |        610 |
| lib\domain\api_clients\filter_api                                                                                                        |          1 |        139 |         53 |         17 |        209 |
| lib\domain\entitites                                                                                                                     |         22 |        459 |         44 |        119 |        622 |
| lib\domain\entitites\details                                                                                                             |          2 |        105 |          4 |         10 |        119 |
| lib\domain\entitites\filter                                                                                                              |          2 |        103 |          4 |         14 |        121 |
| lib\domain\entitites\getter                                                                                                              |          2 |         54 |          4 |         10 |         68 |
| lib\domain\entitites\image_getter                                                                                                        |          2 |         18 |          4 |         10 |         32 |
| lib\domain\entitites\marks                                                                                                               |          2 |         20 |          4 |         11 |         35 |
| lib\domain\entitites\metros                                                                                                              |          2 |         19 |          4 |         11 |         34 |
| lib\domain\entitites\object                                                                                                              |          2 |         25 |          4 |         11 |         40 |
| lib\domain\entitites\qovluqlar                                                                                                           |          2 |         37 |          4 |          9 |         50 |
| lib\domain\entitites\seherler                                                                                                            |          2 |         20 |          4 |         11 |         35 |
| lib\domain\entitites\settlements_regions                                                                                                 |          2 |         31 |          4 |         11 |         46 |
| lib\domain\entitites\settlmenets                                                                                                         |          2 |         27 |          4 |         11 |         42 |
| lib\google_maps                                                                                                                          |          2 |         20 |          0 |          6 |         26 |
| lib\ui                                                                                                                                   |         55 |      5,908 |      1,264 |        468 |      7,640 |
| lib\ui\axtaris                                                                                                                           |         27 |      2,270 |        680 |        217 |      3,167 |
| lib\ui\axtaris\button_entity                                                                                                             |         17 |      1,063 |         59 |        120 |      1,242 |
| lib\ui\axtaris\button_entity\propertyTypeEntities                                                                                        |          4 |        287 |         16 |         32 |        335 |
| lib\ui\axtaris\button_entity\sertler_checkbox.dart                                                                                       |          3 |        180 |          4 |         18 |        202 |
| lib\ui\axtaris\list_tile                                                                                                                 |          6 |        480 |         35 |         41 |        556 |
| lib\ui\axtaris\nisangahlar                                                                                                               |          1 |        124 |         12 |          9 |        145 |
| lib\ui\bas_sehife                                                                                                                        |          4 |        413 |        140 |         24 |        577 |
| lib\ui\bottomNavigationBar                                                                                                               |          3 |        574 |        161 |         47 |        782 |
| lib\ui\deatils_screens                                                                                                                   |          3 |        739 |         26 |         35 |        800 |
| lib\ui\deatils_screens\details_images                                                                                                    |          2 |        135 |         12 |          8 |        155 |
| lib\ui\evler                                                                                                                             |          4 |        330 |         60 |         30 |        420 |
| lib\ui\evler\appbar                                                                                                                      |          1 |         51 |          1 |          4 |         56 |
| lib\ui\evler\elanlarList                                                                                                                 |          1 |        211 |         55 |         19 |        285 |
| lib\ui\evler\son elanar                                                                                                                  |          1 |         42 |          3 |          3 |         48 |
| lib\ui\navigation                                                                                                                        |          1 |         17 |          2 |          4 |         23 |
| lib\ui\profile                                                                                                                           |          5 |        606 |         28 |         26 |        660 |
| lib\ui\profile\daxil_ol                                                                                                                  |          3 |        491 |         23 |         15 |        529 |
| lib\ui\profile\reegister                                                                                                                 |          2 |        115 |          5 |         11 |        131 |
| lib\ui\secilmisler                                                                                                                       |          6 |        856 |        115 |         58 |      1,029 |
| lib\ui\secilmisler\papkalar                                                                                                              |          2 |        406 |         63 |         28 |        497 |
| lib\ui\secure_storage                                                                                                                    |          2 |        103 |         52 |         27 |        182 |
| linux                                                                                                                                    |          5 |        102 |         27 |         38 |        167 |
| linux\flutter                                                                                                                            |          2 |         16 |          9 |         11 |         36 |
| macos                                                                                                                                    |          5 |        449 |          3 |         12 |        464 |
| macos\Flutter                                                                                                                            |          1 |         18 |          3 |          4 |         25 |
| macos\Runner                                                                                                                             |          4 |        431 |          0 |          8 |        439 |
| macos\Runner\Assets.xcassets                                                                                                             |          1 |         68 |          0 |          1 |         69 |
| macos\Runner\Assets.xcassets\AppIcon.appiconset                                                                                          |          1 |         68 |          0 |          1 |         69 |
| macos\Runner\Base.lproj                                                                                                                  |          1 |        343 |          0 |          1 |        344 |
| test                                                                                                                                     |          1 |         14 |         10 |          7 |         31 |
| web                                                                                                                                      |          2 |         72 |         16 |          7 |         95 |
| windows                                                                                                                                  |         10 |        413 |         80 |        131 |        624 |
| windows\flutter                                                                                                                          |          2 |         17 |          9 |         11 |         37 |
| windows\runner                                                                                                                           |          8 |        396 |         71 |        120 |        587 |
+------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------------------------------------+-----------------+------------+------------+------------+------------+
| filename                                                                                                                                 | language        | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------+-----------------+------------+------------+------------+------------+
| c:\Users\gasan\.vscode\flutter projects\database_trial\README.md                                                                         | Markdown        |         10 |          0 |          7 |         17 |
| c:\Users\gasan\.vscode\flutter projects\database_trial\analysis_options.yaml                                                             | YAML            |          3 |         23 |          4 |         30 |
| c:\Users\gasan\.vscode\flutter projects\database_trial\android\app\build.gradle                                                          | Gradle          |         54 |          5 |         13 |         72 |
| c:\Users\gasan\.vscode\flutter projects\database_trial\android\app\src\debug\AndroidManifest.xml                                         | XML             |          4 |          5 |          2 |         11 |
| c:\Users\gasan\.vscode\flutter projects\database_trial\android\app\src\main\AndroidManifest.xml                                          | XML             |         31 |          6 |          2 |         39 |
| c:\Users\gasan\.vscode\flutter projects\database_trial\android\app\src\main\res\drawable-v21\launch_background.xml                       | XML             |          4 |          7 |          2 |         13 |
| c:\Users\gasan\.vscode\flutter projects\database_trial\android\app\src\main\res\drawable\launch_background.xml                           | XML             |          4 |          7 |          2 |         13 |
| c:\Users\gasan\.vscode\flutter projects\database_trial\android\app\src\main\res\values-night\styles.xml                                  | XML             |          9 |          9 |          1 |         19 |
| c:\Users\gasan\.vscode\flutter projects\database_trial\android\app\src\main\res\values\styles.xml                                        | XML             |          9 |          9 |          1 |         19 |
| c:\Users\gasan\.vscode\flutter projects\database_trial\android\app\src\profile\AndroidManifest.xml                                       | XML             |          4 |          4 |          1 |          9 |
| c:\Users\gasan\.vscode\flutter projects\database_trial\android\build.gradle                                                              | Gradle          |         27 |          0 |          6 |         33 |
| c:\Users\gasan\.vscode\flutter projects\database_trial\android\gradle.properties                                                         | Java Properties |          3 |          0 |          1 |          4 |
| c:\Users\gasan\.vscode\flutter projects\database_trial\android\gradle\wrapper\gradle-wrapper.properties                                  | Java Properties |          5 |          0 |          1 |          6 |
| c:\Users\gasan\.vscode\flutter projects\database_trial\android\settings.gradle                                                           | Gradle          |          8 |          0 |          4 |         12 |
| c:\Users\gasan\.vscode\flutter projects\database_trial\assets\images\ArrowLeft.svg                                                       | XML             |          4 |          0 |          1 |          5 |
| c:\Users\gasan\.vscode\flutter projects\database_trial\assets\images\CaretCircleRight.svg                                                | XML             |          4 |          0 |          1 |          5 |
| c:\Users\gasan\.vscode\flutter projects\database_trial\assets\images\CaretDown.svg                                                       | XML             |          3 |          0 |          1 |          4 |
| c:\Users\gasan\.vscode\flutter projects\database_trial\assets\images\CaretRight.svg                                                      | XML             |          3 |          0 |          1 |          4 |
| c:\Users\gasan\.vscode\flutter projects\database_trial\assets\images\Folders.svg                                                         | XML             |          6 |          0 |          1 |          7 |
| c:\Users\gasan\.vscode\flutter projects\database_trial\assets\images\FoldersModalBottom.svg                                              | XML             |          6 |          0 |          1 |          7 |
| c:\Users\gasan\.vscode\flutter projects\database_trial\assets\images\Gear.svg                                                            | XML             |          4 |          0 |          1 |          5 |
| c:\Users\gasan\.vscode\flutter projects\database_trial\assets\images\HeartStraight.svg                                                   | XML             |          3 |          0 |          1 |          4 |
| c:\Users\gasan\.vscode\flutter projects\database_trial\assets\images\HeartStraightLogin.svg                                              | XML             |          3 |          0 |          1 |          4 |
| c:\Users\gasan\.vscode\flutter projects\database_trial\assets\images\HeartStraightRed.svg                                                | XML             |          3 |          0 |          1 |          4 |
| c:\Users\gasan\.vscode\flutter projects\database_trial\assets\images\House.svg                                                           | XML             |          3 |          0 |          1 |          4 |
| c:\Users\gasan\.vscode\flutter projects\database_trial\assets\images\House1.svg                                                          | XML             |          3 |          0 |          1 |          4 |
| c:\Users\gasan\.vscode\flutter projects\database_trial\assets\images\MagnifyingGlass.svg                                                 | XML             |          4 |          0 |          1 |          5 |
| c:\Users\gasan\.vscode\flutter projects\database_trial\assets\images\MapTrifold.svg                                                      | XML             |          5 |          0 |          1 |          6 |
| c:\Users\gasan\.vscode\flutter projects\database_trial\assets\images\Profile.svg                                                         | XML             |          3 |          0 |          1 |          4 |
| c:\Users\gasan\.vscode\flutter projects\database_trial\assets\images\Union.svg                                                           | XML             |          3 |          0 |          1 |          4 |
| c:\Users\gasan\.vscode\flutter projects\database_trial\assets\images\UserCircle.svg                                                      | XML             |         10 |          0 |          1 |         11 |
| c:\Users\gasan\.vscode\flutter projects\database_trial\assets\images\addIcon.svg                                                         | XML             |          5 |          0 |          1 |          6 |
| c:\Users\gasan\.vscode\flutter projects\database_trial\assets\images\bell_svg.svg                                                        | XML             |          7 |          0 |          1 |          8 |
| c:\Users\gasan\.vscode\flutter projects\database_trial\assets\images\heartIcon.svg                                                       | XML             |          3 |          0 |          1 |          4 |
| c:\Users\gasan\.vscode\flutter projects\database_trial\assets\images\papkalar.svg                                                        | XML             |          7 |          0 |          1 |          8 |
| c:\Users\gasan\.vscode\flutter projects\database_trial\assets\images\papkalar2.svg                                                       | XML             |          3 |          0 |          1 |          4 |
| c:\Users\gasan\.vscode\flutter projects\database_trial\assets\images\refreshArrow.svg                                                    | XML             |          5 |          0 |          1 |          6 |
| c:\Users\gasan\.vscode\flutter projects\database_trial\assets\images\sifirlaFilter.svg                                                   | XML             |          6 |          0 |          1 |          7 |
| c:\Users\gasan\.vscode\flutter projects\database_trial\assets\images\successfulVerif.svg                                                 | XML             |         25 |          0 |          1 |         26 |
| c:\Users\gasan\.vscode\flutter projects\database_trial\ios\Runner\AppDelegate.swift                                                      | Swift           |         12 |          0 |          2 |         14 |
| c:\Users\gasan\.vscode\flutter projects\database_trial\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json                       | JSON            |        122 |          0 |          1 |        123 |
| c:\Users\gasan\.vscode\flutter projects\database_trial\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json                     | JSON            |         23 |          0 |          1 |         24 |
| c:\Users\gasan\.vscode\flutter projects\database_trial\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md                         | Markdown        |          3 |          0 |          2 |          5 |
| c:\Users\gasan\.vscode\flutter projects\database_trial\ios\Runner\Base.lproj\LaunchScreen.storyboard                                     | XML             |         36 |          1 |          1 |         38 |
| c:\Users\gasan\.vscode\flutter projects\database_trial\ios\Runner\Base.lproj\Main.storyboard                                             | XML             |         25 |          1 |          1 |         27 |
| c:\Users\gasan\.vscode\flutter projects\database_trial\ios\Runner\Runner-Bridging-Header.h                                               | C++             |          1 |          0 |          1 |          2 |
| c:\Users\gasan\.vscode\flutter projects\database_trial\lib\check_auth.dart                                                               | Dart            |         32 |          0 |          6 |         38 |
| c:\Users\gasan\.vscode\flutter projects\database_trial\lib\data\evler_data\evler_data.dart                                               | Dart            |        169 |         34 |         28 |        231 |
| c:\Users\gasan\.vscode\flutter projects\database_trial\lib\data\filter_data\filter_data.dart                                             | Dart            |          0 |         78 |         13 |         91 |
| c:\Users\gasan\.vscode\flutter projects\database_trial\lib\data\qovluqlar_data\qovluqlar_data.dart                                       | Dart            |        361 |         48 |         23 |        432 |
| c:\Users\gasan\.vscode\flutter projects\database_trial\lib\domain\api_clients\api_client.dart                                            | Dart            |         75 |          2 |         10 |         87 |
| c:\Users\gasan\.vscode\flutter projects\database_trial\lib\domain\api_clients\api_verif_client.dart                                      | Dart            |        126 |         20 |         11 |        157 |
| c:\Users\gasan\.vscode\flutter projects\database_trial\lib\domain\api_clients\filter_api\filter_api_client.dart                          | Dart            |        139 |         53 |         17 |        209 |
| c:\Users\gasan\.vscode\flutter projects\database_trial\lib\domain\api_clients\qovluqlar_api_client.dart                                  | Dart            |        117 |         25 |         15 |        157 |
| c:\Users\gasan\.vscode\flutter projects\database_trial\lib\domain\entitites\details\detailsWidget.dart                                   | Dart            |         64 |          0 |          5 |         69 |
| c:\Users\gasan\.vscode\flutter projects\database_trial\lib\domain\entitites\details\detailsWidget.g.dart                                 | Dart            |         41 |          4 |          5 |         50 |
| c:\Users\gasan\.vscode\flutter projects\database_trial\lib\domain\entitites\filter\filters.dart                                          | Dart            |         54 |          0 |          9 |         63 |
| c:\Users\gasan\.vscode\flutter projects\database_trial\lib\domain\entitites\filter\filters.g.dart                                        | Dart            |         49 |          4 |          5 |         58 |
| c:\Users\gasan\.vscode\flutter projects\database_trial\lib\domain\entitites\getter\get.dart                                              | Dart            |         33 |          0 |          5 |         38 |
| c:\Users\gasan\.vscode\flutter projects\database_trial\lib\domain\entitites\getter\get.g.dart                                            | Dart            |         21 |          4 |          5 |         30 |
| c:\Users\gasan\.vscode\flutter projects\database_trial\lib\domain\entitites\image_getter\getImages.dart                                  | Dart            |         10 |          0 |          5 |         15 |
| c:\Users\gasan\.vscode\flutter projects\database_trial\lib\domain\entitites\image_getter\getImages.g.dart                                | Dart            |          8 |          4 |          5 |         17 |
| c:\Users\gasan\.vscode\flutter projects\database_trial\lib\domain\entitites\marks\nisangah.dart                                          | Dart            |         11 |          0 |          6 |         17 |
| c:\Users\gasan\.vscode\flutter projects\database_trial\lib\domain\entitites\marks\nisangah.g.dart                                        | Dart            |          9 |          4 |          5 |         18 |
| c:\Users\gasan\.vscode\flutter projects\database_trial\lib\domain\entitites\metros\metro.dart                                            | Dart            |         10 |          0 |          6 |         16 |
| c:\Users\gasan\.vscode\flutter projects\database_trial\lib\domain\entitites\metros\metro.g.dart                                          | Dart            |          9 |          4 |          5 |         18 |
| c:\Users\gasan\.vscode\flutter projects\database_trial\lib\domain\entitites\object\object.dart                                           | Dart            |         12 |          0 |          6 |         18 |
| c:\Users\gasan\.vscode\flutter projects\database_trial\lib\domain\entitites\object\object.g.dart                                         | Dart            |         13 |          4 |          5 |         22 |
| c:\Users\gasan\.vscode\flutter projects\database_trial\lib\domain\entitites\qovluqlar\qovluqlar.dart                                     | Dart            |         22 |          0 |          4 |         26 |
| c:\Users\gasan\.vscode\flutter projects\database_trial\lib\domain\entitites\qovluqlar\qovluqlar.g.dart                                   | Dart            |         15 |          4 |          5 |         24 |
| c:\Users\gasan\.vscode\flutter projects\database_trial\lib\domain\entitites\seherler\seher.dart                                          | Dart            |         11 |          0 |          6 |         17 |
| c:\Users\gasan\.vscode\flutter projects\database_trial\lib\domain\entitites\seherler\seher.g.dart                                        | Dart            |          9 |          4 |          5 |         18 |
| c:\Users\gasan\.vscode\flutter projects\database_trial\lib\domain\entitites\settlements_regions\regions_settlements.dart                 | Dart            |         16 |          0 |          6 |         22 |
| c:\Users\gasan\.vscode\flutter projects\database_trial\lib\domain\entitites\settlements_regions\regions_settlements.g.dart               | Dart            |         15 |          4 |          5 |         24 |
| c:\Users\gasan\.vscode\flutter projects\database_trial\lib\domain\entitites\settlmenets\settlemenets.dart                                | Dart            |         14 |          0 |          6 |         20 |
| c:\Users\gasan\.vscode\flutter projects\database_trial\lib\domain\entitites\settlmenets\settlemenets.g.dart                              | Dart            |         13 |          4 |          5 |         22 |
| c:\Users\gasan\.vscode\flutter projects\database_trial\lib\google_maps\constants.dart                                                    | Dart            |          1 |          0 |          1 |          2 |
| c:\Users\gasan\.vscode\flutter projects\database_trial\lib\google_maps\google_maps_page.dart                                             | Dart            |         19 |          0 |          5 |         24 |
| c:\Users\gasan\.vscode\flutter projects\database_trial\lib\main.dart                                                                     | Dart            |        102 |         11 |         10 |        123 |
| c:\Users\gasan\.vscode\flutter projects\database_trial\lib\ui\axtaris\axtaris_birlesme.dart                                              | Dart            |        170 |         30 |          8 |        208 |
| c:\Users\gasan\.vscode\flutter projects\database_trial\lib\ui\axtaris\axtaris_list_widget.dart                                           | Dart            |        433 |         79 |         34 |        546 |
| c:\Users\gasan\.vscode\flutter projects\database_trial\lib\ui\axtaris\button_entity\checkbox_entity.dart                                 | Dart            |         50 |          2 |          5 |         57 |
| c:\Users\gasan\.vscode\flutter projects\database_trial\lib\ui\axtaris\button_entity\chip_choices.dart                                    | Dart            |         53 |          7 |          8 |         68 |
| c:\Users\gasan\.vscode\flutter projects\database_trial\lib\ui\axtaris\button_entity\cixaris_switch_entity.dart                           | Dart            |         61 |          2 |          7 |         70 |
| c:\Users\gasan\.vscode\flutter projects\database_trial\lib\ui\axtaris\button_entity\current_floor_entity.dart                            | Dart            |         68 |          2 |          8 |         78 |
| c:\Users\gasan\.vscode\flutter projects\database_trial\lib\ui\axtaris\button_entity\floor_count.dart                                     | Dart            |         66 |          2 |          8 |         76 |
| c:\Users\gasan\.vscode\flutter projects\database_trial\lib\ui\axtaris\button_entity\kredit_switch_entity.dart                            | Dart            |         61 |          2 |          7 |         70 |
| c:\Users\gasan\.vscode\flutter projects\database_trial\lib\ui\axtaris\button_entity\propertyTypeEntities\ev_villa_button_entity.dart     | Dart            |         73 |          3 |          8 |         84 |
| c:\Users\gasan\.vscode\flutter projects\database_trial\lib\ui\axtaris\button_entity\propertyTypeEntities\kohne_tikili_button_entity.dart | Dart            |         73 |          3 |          8 |         84 |
| c:\Users\gasan\.vscode\flutter projects\database_trial\lib\ui\axtaris\button_entity\propertyTypeEntities\menzil_button_entity.dart       | Dart            |         67 |          7 |          8 |         82 |
| c:\Users\gasan\.vscode\flutter projects\database_trial\lib\ui\axtaris\button_entity\propertyTypeEntities\yeni_tikili_button_entity.dart  | Dart            |         74 |          3 |          8 |         85 |
| c:\Users\gasan\.vscode\flutter projects\database_trial\lib\ui\axtaris\button_entity\range_slider_entity.dart                             | Dart            |         55 |          3 |          5 |         63 |
| c:\Users\gasan\.vscode\flutter projects\database_trial\lib\ui\axtaris\button_entity\room_count_entity.dart                               | Dart            |         67 |         14 |         10 |         91 |
| c:\Users\gasan\.vscode\flutter projects\database_trial\lib\ui\axtaris\button_entity\sahe_range_slider.dart                               | Dart            |         55 |          3 |          5 |         63 |
| c:\Users\gasan\.vscode\flutter projects\database_trial\lib\ui\axtaris\button_entity\sertler_checkbox.dart\1-ci_olmasin.dart              | Dart            |         60 |          1 |          6 |         67 |
| c:\Users\gasan\.vscode\flutter projects\database_trial\lib\ui\axtaris\button_entity\sertler_checkbox.dart\en_ust_olmasin.dart            | Dart            |         60 |          2 |          6 |         68 |
| c:\Users\gasan\.vscode\flutter projects\database_trial\lib\ui\axtaris\button_entity\sertler_checkbox.dart\yalniz_ust.dart                | Dart            |         60 |          1 |          6 |         67 |
| c:\Users\gasan\.vscode\flutter projects\database_trial\lib\ui\axtaris\button_entity\swicth_cupertino.dart                                | Dart            |         60 |          2 |          7 |         69 |
| c:\Users\gasan\.vscode\flutter projects\database_trial\lib\ui\axtaris\kiraye.dart                                                        | Dart            |          0 |        465 |          5 |        470 |
| c:\Users\gasan\.vscode\flutter projects\database_trial\lib\ui\axtaris\list_tile\list_tile-entity.dart                                    | Dart            |         61 |          2 |          7 |         70 |
| c:\Users\gasan\.vscode\flutter projects\database_trial\lib\ui\axtaris\list_tile\list_tile_nisangah.dart                                  | Dart            |         61 |          2 |          7 |         70 |
| c:\Users\gasan\.vscode\flutter projects\database_trial\lib\ui\axtaris\list_tile\list_tile_seherler.dart                                  | Dart            |        169 |         21 |          9 |        199 |
| c:\Users\gasan\.vscode\flutter projects\database_trial\lib\ui\axtaris\list_tile\list_tile_settlements.dart                               | Dart            |        120 |          2 |          9 |        131 |
| c:\Users\gasan\.vscode\flutter projects\database_trial\lib\ui\axtaris\list_tile\seher_baki_or_not.dart                                   | Dart            |         50 |          8 |          5 |         63 |
| c:\Users\gasan\.vscode\flutter projects\database_trial\lib\ui\axtaris\list_tile\textForSeherName.dart                                    | Dart            |         19 |          0 |          4 |         23 |
| c:\Users\gasan\.vscode\flutter projects\database_trial\lib\ui\axtaris\nisangahlar\toggle_buttons_lists.dart                              | Dart            |        124 |         12 |          9 |        145 |
| c:\Users\gasan\.vscode\flutter projects\database_trial\lib\ui\bas_sehife\appbar.dart                                                     | Dart            |         36 |          1 |          4 |         41 |
| c:\Users\gasan\.vscode\flutter projects\database_trial\lib\ui\bas_sehife\bas_sehife_birlesme.dart                                        | Dart            |         37 |         40 |          5 |         82 |
| c:\Users\gasan\.vscode\flutter projects\database_trial\lib\ui\bas_sehife\neticeler.dart                                                  | Dart            |          4 |          0 |          1 |          5 |
| c:\Users\gasan\.vscode\flutter projects\database_trial\lib\ui\bas_sehife\satilan_son_elanlar.dart                                        | Dart            |        336 |         99 |         14 |        449 |
| c:\Users\gasan\.vscode\flutter projects\database_trial\lib\ui\bottomNavigationBar\bottom_navigation_bar.dart                             | Dart            |        107 |          3 |          8 |        118 |
| c:\Users\gasan\.vscode\flutter projects\database_trial\lib\ui\bottomNavigationBar\cupertino_tab_scaffold.dart                            | Dart            |        384 |        157 |         30 |        571 |
| c:\Users\gasan\.vscode\flutter projects\database_trial\lib\ui\bottomNavigationBar\persistent_bottom_nav_bar.dart                         | Dart            |         83 |          1 |          9 |         93 |
| c:\Users\gasan\.vscode\flutter projects\database_trial\lib\ui\deatils_screens\details_images\details_images.dart                         | Dart            |         82 |         10 |          4 |         96 |
| c:\Users\gasan\.vscode\flutter projects\database_trial\lib\ui\deatils_screens\details_images\details_slider.dart                         | Dart            |         53 |          2 |          4 |         59 |
| c:\Users\gasan\.vscode\flutter projects\database_trial\lib\ui\deatils_screens\details_screen.dart                                        | Dart            |        604 |         14 |         27 |        645 |
| c:\Users\gasan\.vscode\flutter projects\database_trial\lib\ui\evler\appbar\son_elanlar.dart                                              | Dart            |         51 |          1 |          4 |         56 |
| c:\Users\gasan\.vscode\flutter projects\database_trial\lib\ui\evler\elanlarList\elanlar_list.dart                                        | Dart            |        211 |         55 |         19 |        285 |
| c:\Users\gasan\.vscode\flutter projects\database_trial\lib\ui\evler\evler.dart                                                           | Dart            |         26 |          1 |          4 |         31 |
| c:\Users\gasan\.vscode\flutter projects\database_trial\lib\ui\evler\son elanar\neticeler-widget.dart                                     | Dart            |         42 |          3 |          3 |         48 |
| c:\Users\gasan\.vscode\flutter projects\database_trial\lib\ui\navigation\navigation.dart                                                 | Dart            |         17 |          2 |          4 |         23 |
| c:\Users\gasan\.vscode\flutter projects\database_trial\lib\ui\profile\daxil_ol\code_screen.dart                                          | Dart            |        124 |         12 |          4 |        140 |
| c:\Users\gasan\.vscode\flutter projects\database_trial\lib\ui\profile\daxil_ol\daxil_ol.dart                                             | Dart            |        102 |          8 |          5 |        115 |
| c:\Users\gasan\.vscode\flutter projects\database_trial\lib\ui\profile\daxil_ol\hesab_screen.dart                                         | Dart            |        265 |          3 |          6 |        274 |
| c:\Users\gasan\.vscode\flutter projects\database_trial\lib\ui\profile\reegister\registration_page.dart                                   | Dart            |         71 |          2 |          4 |         77 |
| c:\Users\gasan\.vscode\flutter projects\database_trial\lib\ui\profile\reegister\splash_register_screnn.dart                              | Dart            |         44 |          3 |          7 |         54 |
| c:\Users\gasan\.vscode\flutter projects\database_trial\lib\ui\secilmisler\appBarSecilmisler.dart                                         | Dart            |         60 |          1 |          4 |         65 |
| c:\Users\gasan\.vscode\flutter projects\database_trial\lib\ui\secilmisler\papkalar.dart                                                  | Dart            |         78 |          2 |          6 |         86 |
| c:\Users\gasan\.vscode\flutter projects\database_trial\lib\ui\secilmisler\papkalar\papkalar_single.dart                                  | Dart            |        310 |         54 |         17 |        381 |
| c:\Users\gasan\.vscode\flutter projects\database_trial\lib\ui\secilmisler\papkalar\qovluq_yarat_dialog.dart                              | Dart            |         96 |          9 |         11 |        116 |
| c:\Users\gasan\.vscode\flutter projects\database_trial\lib\ui\secilmisler\secilmis_elanlar.dart                                          | Dart            |        196 |         41 |         14 |        251 |
| c:\Users\gasan\.vscode\flutter projects\database_trial\lib\ui\secilmisler\secilmisler_birlesme.dart                                      | Dart            |        116 |          8 |          6 |        130 |
| c:\Users\gasan\.vscode\flutter projects\database_trial\lib\ui\secure_storage\qovluqlar_secure_storage.dart                               | Dart            |          0 |         14 |          5 |         19 |
